rank,term,bucket,severity,ov,wc,term_ok,infographic_url,reason,ocr_preview
151,Nilgiri,bad,1.0286,0.0714,17,true,/infographics/nilgiri.png,"low_content_or_overlap(wc=17,ov=0.07)",Nilgiri / nigri/ ( ( Might isvea from th iacil Hammes ia seeiagad tejuks and ic 24125 scared to oRaui- ogiieure. any helrer :nd buslcs ot iecd ta< permrmatec
152,Reserva,bad,1.0286,0.0714,17,true,/infographics/reserva.png,"low_content_or_overlap(wc=17,ov=0.07)",fo] B Reserva ~ny 1Sarth syly leisitie Agading oer grspienng = apcouitng maint Gb legally penveg) = agare (ertipaB and.Santeisgp Vight A.coluation standanes.
153,Ripening,bad,1.0286,0.0714,17,true,/infographics/ripening.png,"low_content_or_overlap(wc=17,ov=0.07)","S\ RIPENING fam gorlss The manrnstion ehaae luheke3 put comnous higlter nigite tamexnnnres, and more waillufa fluner fof juler set."
154,Dortmunder,bad,0.9286,0.0714,18,true,/infographics/dortmunder.png,"low_content_or_overlap(wc=18,ov=0.07)","Dortmunder ( Dem cronmmage ) hh Lconemretir a y que AN eviem te oasumiqiie \ set; ponpetl, comquue, aiu’nreems2 to coevo libeir comioreseit, mun Ee mincond planer. = Pp"
155,Gaba,bad,0.9286,0.0714,18,true,/infographics/gaba.png,"low_content_or_overlap(wc=18,ov=0.07)","Gaba Fgelionl E Bulby es3 is processe in te c angna, murkstted to irernee gemes, anilndalys n wiilll and axrew autfroc tridily rmowns low sumnigency charc"
156,Ale,bad,0.9286,0.0714,19,true,/infographics/ale.png,"low_content_or_overlap(wc=19,ov=0.07)","gin Ale Tell Maxa best cantrratied [=] épandghs with v®e Pup Poetoming 9, mhne testeicrest Fo — toinh s1ere carrse. pressing theand longrer tZct spices."
157,Kabusecha,bad,0.9286,0.0714,19,true,/infographics/kabusecha.png,"low_content_or_overlap(wc=19,ov=0.07)",//// | Kabusecha Moh & conprioring. Kebowarhc is Japaroess prowiie Aum’ ¢/ for a drocé: maend that gesteure laring a raa taeuglecnsa | weckes chop rrests ana grohuto dmarnt.
158,Secondary,bad,0.9286,0.0714,19,true,/infographics/secondary.png,"low_content_or_overlap(wc=19,ov=0.07)",—— Secondary CS —— bavre ka ean Posen) ey Succgrianty aaivie to / \ ownremred tompon gay — perrertvamemutaon 1'doth mre tp pywenged {tnspmatartnit y an bofeer foknnamrd: Famip — mnsriplisient or mstoration
159,Torrontes,bad,0.9286,0.0714,19,true,/infographics/torrontes.png,"low_content_or_overlap(wc=19,ov=0.07)",/ Torrontes Flah-ROHN-£eal 5 Hiighly econtoric ; re ani ead ahiw gren << sally offers theah potorome livst cloially seniies's say with thesh actalily.
160,Maillard,bad,0.9286,0.0714,21,true,/infographics/maillard.png,"low_content_or_overlap(wc=21,ov=0.07)","q ( ( Maillard =m (Mier yaru) SEE EE A larceeting reaction = mtesganl, abries convenrade and magisit tand eaing areXe; namees cook - ane puiittip forairoinett pasing doffies toearing"
161,Holstein,bad,1.0231,0.0769,13,true,/infographics/holstein.png,"low_content_or_overlap(wc=13,ov=0.08)",Holstein Inahiicricent Hotetvrh S4 dauy X—\ cente vrant beeron fer (igheady:.and to lo vegpaWy hererr-chd \ and protem cortean
162,Absinthe,bad,1.0231,0.0769,14,true,/infographics/absinthe.png,"low_content_or_overlap(wc=14,ov=0.08)",\ Absinthe RN 0 15 Oer Bafin J'SSIBVMNO 0 IM ellsos esaaf ladersssaler nmmbspero maimncal Imronziores for anu conmedcic rcwde and gicaanetion.
163,Bicarbonate,bad,1.2731,0.0769,14,false,/infographics/bicarbonate.png,term_not_detected,Bicarbonat <Gavng mip dunly> Ao A ngast ebacyted for eo jeihfrenainding pellretc ih cnurne offeci vhy and may water carride tusi
164,Helles,bad,1.0231,0.0769,14,true,/infographics/helles.png,"low_content_or_overlap(wc=14,ov=0.08)","“™™ Helles | Reiles/ etfobkioin rrolo Ruisrid haore! collinate miolf “ad corttermach Of the behin ms, and diagjes sligey sichierable hhun"
165,Homogenization,bad,1.0231,0.0769,14,true,/infographics/homogenization.png,"low_content_or_overlap(wc=14,ov=0.08)","py | B — Ny * ‘ 5 op hl » A > » ~ pik LA) \ eo [J] [J] Homogenization [vp mytorge: apionifvls. it ¥/b8voisard basn fi ave n tn teop aoilogier sbapiplic to improv tadiaility, rustuve, and sandereds"
166,Saaz,bad,1.0231,0.0769,14,true,/infographics/saaz.png,"low_content_or_overlap(wc=14,ov=0.08)","4 t—. Saaz OR /501.27 : NU Strague a Carrch { > I’ nutdatAvo ataicty (3 8 liokvus ticdistan- @), / cre camle hanlid / aatienmvren and notited biffarness"
167,Symbiosis,bad,1.0231,0.0769,14,true,/infographics/symbiosis.png,"low_content_or_overlap(wc=14,ov=0.08)","I Symbiosis Q = 24th Re0 30, 5iph ro a J Wochisorentoal-obutorac ® o Rt Prwesth skvpr and 30% to \iores add!Emeicories ® Z2avamrtanesls to Look compronteiomy.recossive"
168,Creamline,bad,1.0231,0.0769,15,true,/infographics/creamline.png,"low_content_or_overlap(wc=15,ov=0.08)",= / \ Creamline [0 Plndic‘eud Cruanhfirer decciibes wilk this cleiciflses a orlges huraget. aivening oecaser the projenst tor sie been hurragentenl.
169,Grafting,bad,1.0231,0.0769,15,true,/infographics/grafting.png,"low_content_or_overlap(wc=15,ov=0.08)",Grafting /yrasftin/ goocing ktillerueion acing & maintu at wncatsicorr camyved their ouiring mare 74 . witk dcltowrtacted rowr cystems.
170,Lactose,bad,1.0231,0.0769,15,true,/infographics/lactose.png,"low_content_or_overlap(wc=15,ov=0.08)",— Lactose + [tandraen °“ Lecurea is milkis pryageld naigu and a conviagamra nulld zenernson. Depsenn prioyluge. aae de fru 1%sjion dugeoate in d
171,Liqueur,bad,1.2731,0.0769,15,false,/infographics/liqueur.png,term_not_detected,[J Liqueus [[IN)#1 + Ph Ligunar is a sweetons locating derma in you ni = blernamhyor wetaraticg avleohel cour maervalmrn comt darly. ar other ingreat
172,Sauternes,bad,1.0231,0.0769,15,true,/infographics/sauternes.png,"low_content_or_overlap(wc=15,ov=0.08)",Sauternes fex fem) Seect Barddge 0 applicatics whera Oeriycitind coxvtion. Savrighan Mains and Maviaablile Enduce the concermated wines.
173,Sugarcane,bad,1.2731,0.0769,15,false,/infographics/sugarcane.png,term_not_detected,"Sugarcanc | Snsugeplen/ Sugerdane is the treatts whae bf esians cure nmecakioes pasales ftaoees all croge!ny fros, rum and anrarupents."
174,Baihao,bad,1.0231,0.0769,16,true,/infographics/baihao.png,"low_content_or_overlap(wc=16,ov=0.08)",Baihao Four neail Botice rmess calmy znd :mesl ahaps ity test in / bzrhrake s timess cappy and in alvary bass.
175,Berlinerweisse,bad,1.0231,0.0769,16,true,/infographics/berlinerweisse.png,"low_content_or_overlap(wc=16,ov=0.08)",Berlinerweisse Rear iimirnesticy. A safay Leencibiteir when- halg aciliose fol than tis Somtaicie. Poloty 5eciary. and a tnitm Whieishing selections.
176,Bitterness,bad,1.0231,0.0769,16,true,/infographics/bitterness.png,"low_content_or_overlap(wc=16,ov=0.08)","Bitterness [""birternaw binroneal is the leasit essmalas in create k lilteraly by J Seroiplle acese fhhsr aithe compou that bulsnes wth = swearness in beet"
177,Phenolic,bad,1.0231,0.0769,16,true,/infographics/phenolic.png,"low_content_or_overlap(wc=16,ov=0.08)","QL, Phenol /12 malih/ Phenolic deccriees clove tlee gecloe notnct clrerlity \ of o.esrl-n the actizass esteaed oy onecno nrarn D strams or contarrination."
178,Potassium,bad,1.0231,0.0769,16,true,/infographics/potassium.png,"low_content_or_overlap(wc=16,ov=0.08)",0 | POTASSIUM | (for wrumon) | 4 | A disssived fitheral | prociste aralasivee | annoute thiis and ctatica rysina ackinc this ¥&libste to wspy detining nase waters
179,Reinheitsgebot,bad,1.0231,0.0769,16,true,/infographics/reinheitsgebot.png,"low_content_or_overlap(wc=16,ov=0.08)",Reinheitsgebot Gaitincare gaaar* A AN The Fustoric KF arelend huge A= bobdy hna m— | suld in+brcided thumibels — pril~u nbienced have & ead sbandends
180,Rye,bad,1.0231,0.0769,16,true,/infographics/rye.png,"low_content_or_overlap(wc=16,ov=0.08)",Rye fon/ Plye in spirtre seestrrocnaly groin asnd merakri Btop Wiuded for pacling witis bathed and day Phoor foless
181,Altbier,bad,1.0231,0.0769,17,true,/infographics/altbier.png,"low_content_or_overlap(wc=17,ov=0.08)","[|] Altbier All 1, 2017 Galosno in coditonal banrtaril eind the oant Elnieran it puseadel so Mme ~ ysleerind Elmietened crazi is a nreers trus Xhseit."
182,Dahongpao,bad,1.0231,0.0769,17,true,/infographics/dahongpao.png,"low_content_or_overlap(wc=17,ov=0.08)",Dahongpao af uloving how { Dons neers is a sendoiaue bhy onock atorriog fcovmm Portavory aarn andunerreg.on end iviog toZsrered ofteruisels.
183,Ester,bad,1.0231,0.0769,17,true,/infographics/ester.png,"low_content_or_overlap(wc=17,ov=0.08)","0 Ester o PA FOR\2T (- Muskina #eprentation ertilacs, sirerv conopony isst, ) sensfér sl: tuewrcass, fronr joo: sof as perir susurey tapple, or clerre fielk."
184,Heads,bad,1.0231,0.0769,17,true,/infographics/heads.png,"low_content_or_overlap(wc=17,ov=0.08)",{c— Heads (hegs) The jong crable ® ( desklluiom fugetion (0) gtlee hevedaver . comynnival lighler o (2 tolivior o.fwhe cack o O esiilt tnd ghbgicos and oreers.
185,Stripping,bad,1.0231,0.0769,17,true,/infographics/stripping.png,"low_content_or_overlap(wc=17,ov=0.08)",° ° R. Stripping mn 1.97 puig | AL The nst action (RT = Ley: thay ER. IE sumaercales eed =] oOrsion from A A enals take foun poree : —— 5) %s hour reaking find aw stisciore
186,Cabernet,bad,0.9231,0.0769,18,true,/infographics/cabernet.png,"low_content_or_overlap(wc=18,ov=0.08)","—| CABERNET 4Ko vncral Looy 0 A atrouoch or lieed [ 1) andiratlers, awfiy (7) Flnrothce, Drunvaal Reore-pore shodech Nes crogcaines lheoare —~\ Concande the of NT respending on correls."
187,Chemex,bad,0.9231,0.0769,18,true,/infographics/chemex.png,"low_content_or_overlap(wc=18,ov=0.08)","- Chemex (Emow ) A now, ever brewar sun whal never imein bhe makind amause high sHees, tighi hadu, and oin exdiment."
188,Flavoring,bad,0.9231,0.0769,18,true,/infographics/flavoring.png,"low_content_or_overlap(wc=18,ov=0.08)",a Flavoring Crp rexes op ~ Yhe onfdino of hails VAL) 7 7) haifie dnobioracere. NV or znem any anmia 2 > shauenign nellea rt ARS arine and eoenal | No profite. —_J
189,Headspace,bad,0.9231,0.0769,18,true,/infographics/headspace.png,"low_content_or_overlap(wc=18,ov=0.08)",f—] —— Headspace = Fathers) Uspmianiam in the sit cap mpscem the riglrbe ard cal spaert pbmpisecton. drtidoradical codim capostor pnil eugenie: fon dettelopment.
190,Mucilage,bad,0.9231,0.0769,18,true,/infographics/mucilage.png,"low_content_or_overlap(wc=18,ov=0.08)","=x MUCILAGE 0 MYOD-soll-[i] 0 = The reloly augay 0 0 sout recruuosing, o 0 the asst.iment tha 0 Q autngly infes:ires co 0 ternertiisar, oight jebluaiw. and tinal cup charieter."
191,Muscatel,bad,0.9231,0.0769,18,true,/infographics/muscatel.png,"low_content_or_overlap(wc=18,ov=0.08)","0 Muscatel \ (yhocka wh) por * Dancclnze a gayae lihe 3 FY- ) rnosts and biaoncez 8 Coa Vlansesing oaiaviuspd ae wilt rawes pieuvisl lash ""> Darpecing usia"
192,Sodium,bad,0.9231,0.0769,18,true,/infographics/sodium.png,"low_content_or_overlap(wc=18,ov=0.08)",g Sodium o odiu /Soudipny A dunanenal action bact and leo:acioh © N\ fattines and rtelrly (o) erhilp of «a mecking's while heb tave may raid slistmeify EE ina
193,Steaming,bad,0.9231,0.0769,18,true,/infographics/steaming.png,"low_content_or_overlap(wc=18,ov=0.08)","(0 Steaming [6teenting] Stearning lzid Neglcinarkile warked [rele oviith alaiprsics axteily and plais cols, puple grace tade our manna orgintirrierts."
194,Alkalinity,bad,0.9231,0.0769,19,true,/infographics/alkalinity.png,"low_content_or_overlap(wc=19,ov=0.08)",MN | Alkalinity fo) Jeal Ralinday The aasters copzttity / o> as nateate its axtiel sarlud. lone dlsacteas and you sinels rrad which ver tslnek yout sharpriess on the pulse
195,Assemblage,bad,0.9231,0.0769,19,true,/infographics/assemblage.png,"low_content_or_overlap(wc=19,ov=0.08)","Assemblage Starcd Yinery. The Elnlieing of logg EDrie gpgFIeR Weraes, WV stamorine, of viaed Abcoung vibe bew’cag ar Fri witha niorded $algnce. fr Sr— and style."
196,Catechin,bad,0.9231,0.0769,19,true,/infographics/catechin.png,"low_content_or_overlap(wc=19,ov=0.08)","OH a Catechin \ [BSF UN 0 211#] OH EopSinne ocstpter mio cdopitonninc ante antilisieles edaonirces, enticiglesiite and acUsue htiai dnoeazing. vlustoaiins ira sho condlece besis."
197,Dunder,bad,0.9231,0.0769,19,true,/infographics/dunder.png,"low_content_or_overlap(wc=19,ov=0.08)",JOS Dunder ey) 4 7? dare dar/ ZN X No solo-ntracupent — wase. bos utime ahst nt Fe — 0 co emekiniq tebned < to wmpen! tormrearcaa cc = 4 and stusingy foie foir ii haven ams perrent.
198,Lovibond,bad,0.9231,0.0769,19,true,/infographics/lovibond.png,"low_content_or_overlap(wc=19,ov=0.08)",Lovibond EEE Lot cn bord) Lostboad is a — senrtiened bollp- / _C ) contenced its sauslf thelf and have cole \ . thaugr sempiced auatagu-muw offen uee SIRIT FILBC.
199,Oxidative,bad,0.9231,0.0769,19,true,/infographics/oxidative.png,"low_content_or_overlap(wc=19,ov=0.08)",Oxidati (0) Oxidative Lak rederev! Fanaeten choushes eroutresd imamnent ole momerecr by end exneest orning peorks tisvlly muitemimarce and baznge yroma and fraver.
200,Congeners,bad,0.9231,0.0769,20,true,/infographics/congeners.png,"low_content_or_overlap(wc=20,ov=0.08)","Congeners Finnst ""9a NLL Cantiund scorvmor colrtray corbog guing sao bidle mronthwzing war er |b tbag pumattor stastind adit in ble rreine ather and pareirs"